Node;Highest score;Lowest score;Total generalization level;# Suppressed records;Non Uniform Entropy;Discerniblity;Precision;Distance RAU;Cost RAU
[0,0,0];1,0;1,0;0;33229;0,000000000000;?;0,000000000000;*;*
[0,0,1];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,0,2];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,0,3];0,9653035473854337;0,9653035473854337;3;32069;0,026091229776;0,034898283471;0,027952073065;1,0902602937556043;1,0865944444718008
[0,0,4];0,07357231721968782;0,07357231721968782;4;1352;0,899634822774;0,958607263132;0,748903911838;1,135378489190745;1,1426193496130779
[0,0,5];0,26014853743892985;0,26014853743892985;5;9;0,998415977352;0,992991995987;0,739851462516;2,1833916444027466;2,225118915017124
[0,1,0];1,0;1,0;1;33229;0,000000000000;?;0,000000000000;*;*
[0,1,1];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,1,2];0,9694308739101878;0,9694308739101878;3;32195;0,021109002697;0,031106833211;0,024900454629;1,0600998542121678;1,058055069942843
[0,1,3];0,28543400319195533;0,28543400319195533;4;8976;0,541900426837;0,729471849580;0,546281104467;1,0084691987368222;1,0078615511106797
[0,1,4] optimal;0,050592982466128866;0,050592982466128866;5;9;0,979691669833;0,996272938743;0,707131717227;1,135378489190745;1,1426193496130779
[0,1,5];0,280245609961161;0,280245609961161;6;9;0,977713467806;0,967113943966;0,660932647866;2,1833916444027466;2,225118915017124
[0,2,0];1,0;1,0;2;33229;0,000000000000;?;0,000000000000;*;*
[0,2,1];0,9984643940964146;0,9984643940964146;3;33176;0,001015449937;0,001594529434;0,001276010832;1,7071462320075323;1,733864018395505
[0,2,2];0,8545210455771224;0,8545210455771224;4;28204;0,101847171244;0,151162955744;0,111113872668;1,0600998542121678;1,058055069942843
[0,2,3];0,10388602366964461;0,10388602366964461;5;2202;0,723699522029;0,932862582768;0,643340786783;1,0;1,0
[0,2,4];0,07040649971626656;0,07040649971626656;6;9;0,977142589029;0,992914498052;0,638992420928;1,135378489190745;1,1426193496130779
[0,2,5];0,30439023009543464;0,30439023009543464;7;9;0,974916169308;0,935470561090;0,590358477020;2,1833916444027466;2,225118915017124
[0,3,0];1,0;1,0;3;33229;0,000000000000;?;0,000000000000;*;*
[0,3,1];0,9861315522075338;0,9861315522075338;4;32729;0,009273930609;0,015041786954;0,011038077962;1,2000217610093589;1,1994190752942413
[0,3,2];0,6387591824452894;0,6387591824452894;5;20215;0,260115582237;0,391445674891;0,263885218004;1,0148547589223422;1,0135036887937732
[0,3,3];0,10348620334414371;0,10348620334414371;6;940;0,775665011825;0,969963777287;0,612737306379;1,0098062578721023;1,0088405648798735
[0,3,4];0,1079708649406188;0,1079708649406188;7;9;0,975046761115;0,986170060198;0,577067851152;1,135378489190745;1,1426193496130779
[0,3,5];0,35016591532470964;0,35016591532470964;8;9;0,972616259370;0,871774561898;0,526221108359;1,718107963263288;1,747452448009887
[0,4,0];1,0;1,0;4;33229;0,000000000000;?;0,000000000000;*;*
[0,4,1];0,9425246205212812;0,9425246205212812;5;30956;0,041695040132;0,068377496499;0,045740495655;1,1232888694017005;1,122155128908248
